Order ID,Order Date,Region,Category,Sub-Category,Quantity,Unit Price,Unit Cost,Sales,Cost,Profit
ORD00041,8/15/2024,North,Office Supplies,Storage,6,358.2,189.76,2149.2,1138.56,1010.64
ORD00042,7/17/2023,East,Technology,Accessories,9,123.21,69.17,1108.89,622.53,486.36
ORD00043,6/21/2025,South,Technology,Laptops,4,126.92,91.96,507.68,367.84,139.84
ORD00044,4/11/2024,West,Technology,Laptops,3,358.54,240.31,1075.62,720.93,354.69
ORD00045,2/28/2025,North,Furniture,Tables,8,156.93,100.87,1255.44,806.96,448.48
ORD00046,10/9/2023,North,Office Supplies,Storage,7,88.67,68.93,620.69,482.51,138.18
ORD00047,1/21/2022,North,Furniture,Tables,6,206.1,117.03,1236.6,702.18,534.42
ORD00048,4/20/2024,West,Office Supplies,Paper,2,168.11,134.08,336.22,268.16,68.06
ORD00049,6/16/2022,East,Furniture,Chairs,2,478.45,266.93,956.9,533.86,423.04
ORD00050,7/21/2025,East,Furniture,Bookcases,7,441.69,230.31,3091.83,1612.17,1479.66
ORD00051,1/23/2023,North,Furniture,Bookcases,7,369.15,225.63,2584.05,1579.41,1004.64
ORD00052,8/24/2023,North,Technology,Laptops,4,232.68,127.91,930.72,511.64,419.08
ORD00053,11/12/2022,North,Technology,Phones,7,51.2,31.27,358.4,218.89,139.51
ORD00054,1/14/2022,East,Furniture,Bookcases,3,320.7,212.12,962.1,636.36,325.74
ORD00055,8/30/2022,South,Office Supplies,Binders,1,65.08,45.41,65.08,45.41,19.67
ORD00056,2/16/2024,East,Office Supplies,Storage,7,157.86,123.45,1105.02,864.15,240.87
ORD00057,10/1/2025,South,Office Supplies,Storage,2,450.98,258.31,901.96,516.62,385.34
ORD00058,7/19/2023,North,Technology,Accessories,9,113.8,57.28,1024.2,515.52,508.68
ORD00059,6/16/2024,East,Technology,Accessories,2,345.81,196.88,691.62,393.76,297.86
ORD00060,9/25/2025,East,Technology,Phones,4,446.15,315.93,1784.6,1263.72,520.88
ORD00061,4/2/2022,South,Office Supplies,Storage,2,99.46,71.55,198.92,143.1,55.82
ORD00062,10/22/2025,North,Office Supplies,Binders,1,104.98,72.46,104.98,72.46,32.52
ORD00063,8/13/2024,East,Office Supplies,Paper,9,32.01,21.8,288.09,196.2,91.89
ORD00064,12/22/2025,North,Office Supplies,Binders,7,313.05,190.73,2191.35,1335.11,856.24
ORD00065,5/24/2023,East,Office Supplies,Binders,3,251.4,184.77,754.2,554.31,199.89
ORD00066,2/15/2024,East,Furniture,Tables,4,127.88,71.43,511.52,285.72,225.8
ORD00067,2/4/2022,South,Furniture,Chairs,4,41.35,30.01,165.4,120.04,45.36
ORD00068,7/25/2022,East,Office Supplies,Storage,8,236.74,159.54,1893.92,1276.32,617.6
ORD00069,1/9/2025,North,Furniture,Chairs,7,103.86,67.99,727.02,475.93,251.09
ORD00070,11/12/2025,West,Office Supplies,Binders,6,366.87,218.8,2201.22,1312.8,888.42
ORD00071,10/22/2024,South,Technology,Laptops,4,332.64,181.7,1330.56,726.8,603.76
ORD00072,10/18/2024,South,Furniture,Tables,5,155.99,101.33,779.95,506.65,273.3
ORD00073,11/14/2025,West,Office Supplies,Paper,5,360.75,185.56,1803.75,927.8,875.95
ORD00074,7/20/2023,North,Technology,Accessories,5,488.88,352.93,2444.4,1764.65,679.75
ORD00075,2/3/2025,East,Office Supplies,Storage,1,401.74,276.89,401.74,276.89,124.85
ORD00076,12/4/2023,South,Technology,Laptops,1,76.45,59.97,76.45,59.97,16.48
ORD00077,2/6/2023,West,Office Supplies,Storage,2,306.73,196.84,613.46,393.68,219.78
ORD00078,12/31/2023,East,Technology,Phones,6,390.29,195.4,2341.74,1172.4,1169.34
ORD00079,6/11/2022,West,Technology,Laptops,3,122.69,61.56,368.07,184.68,183.39
ORD00080,7/21/2022,North,Office Supplies,Storage,4,401.2,224.97,1604.8,899.88,704.92
ORD00081,9/22/2024,West,Office Supplies,Paper,2,261.15,202.42,522.3,404.84,117.46
ORD00082,9/27/2022,South,Furniture,Tables,9,341.28,235.41,3071.52,2118.69,952.83
ORD00083,3/26/2024,South,Furniture,Chairs,9,24.23,17.32,218.07,155.88,62.19
ORD00084,7/18/2025,West,Technology,Laptops,6,264.36,166.54,1586.16,999.24,586.92
ORD00085,4/1/2023,North,Technology,Laptops,5,359.49,252.18,1797.45,1260.9,536.55
ORD00086,6/29/2025,South,Furniture,Chairs,1,342.3,197.07,342.3,197.07,145.23
ORD00087,10/13/2024,South,Office Supplies,Storage,5,66.54,40.28,332.7,201.4,131.3
ORD00088,10/23/2022,North,Technology,Phones,6,272.33,213.55,1633.98,1281.3,352.68
ORD00089,12/21/2023,East,Furniture,Chairs,7,335.78,174.33,2350.46,1220.31,1130.15
ORD00090,12/4/2022,West,Furniture,Tables,3,198.75,145.67,596.25,437.01,159.24
ORD00091,5/28/2024,North,Office Supplies,Paper,2,392.76,234.23,785.52,468.46,317.06
ORD00092,12/12/2024,North,Furniture,Bookcases,9,76.63,57.47,689.67,517.23,172.44
ORD00093,3/2/2024,North,Technology,Accessories,6,475.45,328.36,2852.7,1970.16,882.54
ORD00094,8/5/2022,East,Furniture,Chairs,5,116.82,73.47,584.1,367.35,216.75
ORD00095,2/3/2024,East,Technology,Laptops,2,84.67,52.7,169.34,105.4,63.94
ORD00096,7/7/2022,West,Furniture,Bookcases,4,81.72,57.96,326.88,231.84,95.04
ORD00097,1/15/2023,South,Furniture,Tables,6,263.46,158.84,1580.76,953.04,627.72
ORD00098,5/8/2023,East,Furniture,Bookcases,9,71.09,56.22,639.81,505.98,133.83
ORD00099,11/30/2024,South,Office Supplies,Paper,5,48.74,38.43,243.7,192.15,51.55
ORD00100,3/26/2025,West,Technology,Accessories,2,263.21,207.92,526.42,415.84,110.58
ORD00101,1/15/2022,East,Office Supplies,Paper,7,447.17,310.9,3130.19,2176.3,953.89
ORD00102,3/6/2022,North,Technology,Laptops,4,38.44,23.85,153.76,95.4,58.36
ORD00103,6/5/2023,West,Technology,Laptops,1,159.96,86.16,159.96,86.16,73.8
ORD00104,9/29/2025,North,Technology,Accessories,4,83.52,58.72,334.08,234.88,99.2
ORD00105,2/26/2025,South,Office Supplies,Binders,2,470.16,242.64,940.32,485.28,455.04
ORD00106,10/10/2023,West,Technology,Phones,2,256.76,194.42,513.52,388.84,124.68
ORD00107,12/22/2024,South,Office Supplies,Binders,8,235.66,138.13,1885.28,1105.04,780.24
ORD00108,3/8/2025,North,Technology,Phones,5,360.19,194.62,1800.95,973.1,827.85
ORD00109,8/16/2023,North,Office Supplies,Paper,3,310.93,244.04,932.79,732.12,200.67
ORD00110,1/27/2023,West,Technology,Laptops,1,75.69,53.12,75.69,53.12,22.57
ORD00111,2/23/2023,West,Technology,Phones,9,114.22,64.14,1027.98,577.26,450.72
ORD00112,10/16/2022,South,Office Supplies,Storage,8,196.94,102.36,1575.52,818.88,756.64
ORD00113,1/14/2023,South,Technology,Laptops,1,495.33,358.27,495.33,358.27,137.06
ORD00114,8/19/2022,East,Office Supplies,Paper,5,165.97,105.38,829.85,526.9,302.95
ORD00115,10/14/2024,North,Technology,Phones,3,68.11,53.1,204.33,159.3,45.03
ORD00116,2/10/2022,North,Furniture,Chairs,3,229.2,152.82,687.6,458.46,229.14
ORD00117,11/17/2024,East,Technology,Phones,6,308.1,201.53,1848.6,1209.18,639.42
ORD00118,5/15/2022,North,Technology,Laptops,3,46.63,27.3,139.89,81.9,57.99
ORD00119,7/20/2022,South,Office Supplies,Paper,2,371.17,214.19,742.34,428.38,313.96
ORD00120,2/19/2024,East,Office Supplies,Paper,2,420.54,255.79,841.08,511.58,329.5
ORD00121,7/18/2024,North,Office Supplies,Binders,1,165.32,107.19,165.32,107.19,58.13
ORD00122,11/22/2024,West,Furniture,Tables,2,81.37,48.31,162.74,96.62,66.12
ORD00123,12/7/2024,North,Furniture,Chairs,8,340.63,225.31,2725.04,1802.48,922.56
ORD00124,5/18/2023,North,Furniture,Bookcases,4,335,228.68,1340,914.72,425.28
ORD00125,2/11/2023,West,Technology,Laptops,5,96.98,67.33,484.9,336.65,148.25
ORD00126,3/15/2024,East,Office Supplies,Binders,5,424.24,241.39,2121.2,1206.95,914.25
ORD00127,4/9/2022,North,Furniture,Tables,8,161.08,92.81,1288.64,742.48,546.16
ORD00128,11/15/2023,South,Technology,Accessories,3,56.83,30.23,170.49,90.69,79.8
ORD00129,12/27/2023,South,Office Supplies,Storage,7,59.12,40.96,413.84,286.72,127.12
ORD00130,8/18/2024,West,Technology,Accessories,2,305.56,182.56,611.12,365.12,246
ORD00131,9/5/2023,East,Furniture,Chairs,4,123.08,92.35,492.32,369.4,122.92
ORD00132,10/5/2023,South,Furniture,Tables,1,297,226.28,297,226.28,70.72
ORD00133,10/25/2024,West,Office Supplies,Storage,4,198.33,111.59,793.32,446.36,346.96
ORD00134,5/26/2025,West,Technology,Laptops,7,46.92,31.78,328.44,222.46,105.98
ORD00135,5/18/2023,South,Technology,Laptops,4,29.73,20.42,118.92,81.68,37.24
ORD00136,2/6/2024,North,Furniture,Tables,9,169.3,100.9,1523.7,908.1,615.6
ORD00137,2/2/2023,South,Technology,Laptops,1,475.6,355.62,475.6,355.62,119.98
ORD00138,5/20/2024,West,Technology,Laptops,3,454.82,361.36,1364.46,1084.08,280.38
ORD00139,3/5/2024,North,Technology,Accessories,9,109.83,55.99,988.47,503.91,484.56
ORD00140,1/28/2023,South,Office Supplies,Paper,3,432.2,268.43,1296.6,805.29,491.31
ORD00141,7/26/2022,South,Technology,Accessories,2,429.42,255.3,858.84,510.6,348.24
ORD00142,11/4/2024,South,Technology,Laptops,3,377.2,290.11,1131.6,870.33,261.27
ORD00143,6/10/2024,West,Furniture,Chairs,2,296.92,207.03,593.84,414.06,179.78
ORD00144,5/13/2024,North,Technology,Phones,6,207.54,162.7,1245.24,976.2,269.04
ORD00145,1/13/2024,North,Technology,Laptops,3,96.2,74.73,288.6,224.19,64.41
ORD00146,6/18/2025,North,Office Supplies,Storage,8,449.03,343.57,3592.24,2748.56,843.68
ORD00147,7/18/2023,North,Furniture,Tables,4,239.8,160.86,959.2,643.44,315.76
ORD00148,10/17/2024,East,Technology,Laptops,6,384.21,256.78,2305.26,1540.68,764.58
ORD00149,4/6/2022,East,Furniture,Bookcases,8,454.93,245.31,3639.44,1962.48,1676.96
ORD00150,4/30/2023,East,Technology,Laptops,9,141.79,104.98,1276.11,944.82,331.29
ORD00151,12/1/2025,West,Furniture,Bookcases,3,315.03,237.77,945.09,713.31,231.78
ORD00152,8/19/2022,West,Office Supplies,Storage,4,306.27,229.92,1225.08,919.68,305.4
ORD00153,1/19/2024,North,Technology,Accessories,8,464.82,329.83,3718.56,2638.64,1079.92
ORD00154,4/9/2025,West,Technology,Phones,3,447.56,302.74,1342.68,908.22,434.46
ORD00155,6/25/2023,North,Office Supplies,Paper,9,86.19,58.38,775.71,525.42,250.29
ORD00156,11/25/2024,North,Office Supplies,Storage,7,440.92,309.89,3086.44,2169.23,917.21
ORD00157,6/9/2023,North,Furniture,Chairs,9,64.21,36.74,577.89,330.66,247.23
ORD00158,3/29/2025,East,Furniture,Bookcases,6,480.92,277.06,2885.52,1662.36,1223.16
ORD00159,6/20/2025,West,Office Supplies,Binders,5,463.56,325.01,2317.8,1625.05,692.75
ORD00160,1/14/2025,North,Furniture,Chairs,7,357.34,183.17,2501.38,1282.19,1219.19
ORD00161,8/1/2023,West,Furniture,Bookcases,4,54.41,38.73,217.64,154.92,62.72
ORD00162,11/13/2023,South,Furniture,Chairs,5,291.9,159.03,1459.5,795.15,664.35
ORD00163,7/11/2023,South,Office Supplies,Binders,9,64.86,46.18,583.74,415.62,168.12
ORD00164,10/9/2024,North,Technology,Accessories,1,21.18,13.23,21.18,13.23,7.95
ORD00165,10/8/2023,East,Office Supplies,Storage,6,65.2,37.83,391.2,226.98,164.22
ORD00166,3/6/2024,South,Furniture,Bookcases,4,53.11,41.99,212.44,167.96,44.48
ORD00167,11/17/2024,South,Technology,Phones,4,144.43,77.52,577.72,310.08,267.64
ORD00168,9/25/2025,East,Technology,Accessories,9,196.82,140.51,1771.38,1264.59,506.79
ORD00169,9/16/2025,South,Furniture,Tables,5,205.48,127.79,1027.4,638.95,388.45
ORD00170,10/3/2025,East,Furniture,Chairs,8,388.4,281.53,3107.2,2252.24,854.96
ORD00171,6/8/2025,West,Furniture,Tables,1,435.6,235.07,435.6,235.07,200.53
ORD00172,7/9/2022,West,Office Supplies,Paper,4,222.7,128.22,890.8,512.88,377.92
ORD00173,6/2/2025,West,Office Supplies,Paper,2,364.47,264.79,728.94,529.58,199.36
ORD00174,11/9/2025,East,Furniture,Tables,1,150.54,107.82,150.54,107.82,42.72
ORD00175,11/1/2025,West,Technology,Accessories,5,332.57,188.38,1662.85,941.9,720.95
ORD00176,7/30/2025,South,Furniture,Bookcases,5,180.68,117.95,903.4,589.75,313.65
ORD00177,9/25/2023,South,Office Supplies,Binders,1,148.48,114.85,148.48,114.85,33.63
ORD00178,9/20/2023,East,Office Supplies,Paper,3,482.5,305.48,1447.5,916.44,531.06
ORD00179,8/30/2024,East,Technology,Phones,4,26.37,17.52,105.48,70.08,35.4
ORD00180,7/6/2025,South,Furniture,Tables,7,83.04,61.93,581.28,433.51,147.77
ORD00181,10/14/2025,West,Furniture,Bookcases,3,178.18,109.49,534.54,328.47,206.07
ORD00182,12/11/2023,East,Office Supplies,Storage,9,202.82,128.18,1825.38,1153.62,671.76
ORD00183,12/5/2025,South,Furniture,Bookcases,5,454.37,303.52,2271.85,1517.6,754.25
ORD00184,10/11/2023,East,Office Supplies,Binders,7,330.4,259.64,2312.8,1817.48,495.32
ORD00185,11/14/2022,South,Furniture,Chairs,9,372.54,238.86,3352.86,2149.74,1203.12
ORD00186,6/2/2025,North,Office Supplies,Paper,3,277.58,218.56,832.74,655.68,177.06
ORD00187,6/11/2025,East,Technology,Laptops,8,25.3,13.1,202.4,104.8,97.6
ORD00188,11/15/2023,East,Office Supplies,Binders,4,150.82,115,603.28,460,143.28
ORD00189,10/26/2023,West,Technology,Phones,6,189.45,149.82,1136.7,898.92,237.78
ORD00190,10/29/2025,North,Furniture,Chairs,3,69.96,51.55,209.88,154.65,55.23
ORD00191,6/10/2025,South,Technology,Phones,3,31.57,24.29,94.71,72.87,21.84
ORD00192,2/10/2025,East,Furniture,Chairs,1,34.59,21.79,34.59,21.79,12.8
ORD00193,3/18/2023,East,Furniture,Chairs,9,102.77,76.53,924.93,688.77,236.16
ORD00194,7/18/2023,West,Office Supplies,Storage,9,273.83,198.84,2464.47,1789.56,674.91
ORD00195,7/15/2025,South,Furniture,Bookcases,5,75.12,59.12,375.6,295.6,80
ORD00196,11/10/2025,West,Office Supplies,Paper,3,330.2,168.54,990.6,505.62,484.98
ORD00197,11/11/2025,West,Office Supplies,Storage,5,421.06,260.95,2105.3,1304.75,800.55
ORD00198,2/10/2025,East,Furniture,Tables,6,217.05,164.92,1302.3,989.52,312.78
ORD00199,8/9/2024,North,Office Supplies,Storage,3,475.51,371.87,1426.53,1115.61,310.92
ORD00200,1/9/2025,North,Technology,Accessories,4,234.55,135.29,938.2,541.16,397.04
ORD00201,11/30/2023,South,Furniture,Tables,8,194.98,143.47,1559.84,1147.76,412.08
ORD00202,4/23/2022,South,Furniture,Bookcases,6,472.15,266.7,2832.9,1600.2,1232.7
ORD00203,1/2/2022,North,Technology,Phones,5,317.62,172.85,1588.1,864.25,723.85
ORD00204,10/4/2023,North,Office Supplies,Binders,9,186.44,141.46,1677.96,1273.14,404.82
ORD00205,8/8/2022,West,Office Supplies,Binders,7,409.9,224.87,2869.3,1574.09,1295.21
ORD00206,5/4/2024,East,Office Supplies,Storage,2,135.01,92.67,270.02,185.34,84.68
ORD00207,6/2/2025,West,Technology,Accessories,5,472.66,261.8,2363.3,1309,1054.3
ORD00208,1/20/2023,West,Office Supplies,Storage,4,342.61,197.23,1370.44,788.92,581.52
ORD00209,11/27/2025,East,Furniture,Chairs,3,385.67,230.91,1157.01,692.73,464.28
ORD00210,2/27/2025,West,Office Supplies,Paper,6,298.56,169.47,1791.36,1016.82,774.54
ORD00211,12/12/2024,East,Technology,Laptops,3,253.19,133.13,759.57,399.39,360.18
ORD00212,12/31/2023,North,Furniture,Tables,1,364.64,285.55,364.64,285.55,79.09
ORD00213,12/10/2025,East,Technology,Laptops,4,198.71,116.05,794.84,464.2,330.64
ORD00214,9/4/2022,South,Technology,Phones,9,34.78,24.94,313.02,224.46,88.56
ORD00215,4/15/2024,West,Furniture,Tables,9,324.23,217.47,2918.07,1957.23,960.84
ORD00216,7/22/2022,North,Technology,Phones,8,176.4,100.77,1411.2,806.16,605.04
ORD00217,4/22/2025,East,Furniture,Chairs,6,349.14,252.54,2094.84,1515.24,579.6
ORD00218,5/3/2022,North,Technology,Laptops,4,318.38,171.44,1273.52,685.76,587.76
ORD00219,2/5/2023,South,Office Supplies,Binders,6,293.14,211.6,1758.84,1269.6,489.24
ORD00220,2/6/2024,West,Office Supplies,Binders,5,254.27,198.93,1271.35,994.65,276.7
ORD00221,10/21/2022,South,Office Supplies,Paper,4,318.06,237.22,1272.24,948.88,323.36
ORD00222,10/7/2022,East,Office Supplies,Binders,1,382.56,294.76,382.56,294.76,87.8
ORD00223,6/2/2024,South,Furniture,Tables,6,392.79,223.3,2356.74,1339.8,1016.94
ORD00224,7/17/2022,West,Technology,Phones,6,87.94,62.71,527.64,376.26,151.38
ORD00225,9/8/2024,South,Technology,Phones,2,152.03,114.09,304.06,228.18,75.88
ORD00226,1/22/2024,South,Furniture,Bookcases,1,227.47,159.32,227.47,159.32,68.15
ORD00227,5/24/2022,South,Furniture,Tables,8,467.28,273.72,3738.24,2189.76,1548.48
ORD00228,9/1/2023,South,Technology,Laptops,2,68.93,44.67,137.86,89.34,48.52
ORD00229,5/9/2025,North,Technology,Phones,8,150.15,88.44,1201.2,707.52,493.68
ORD00230,2/21/2025,West,Office Supplies,Binders,8,472.53,274.12,3780.24,2192.96,1587.28
ORD00231,7/6/2022,West,Furniture,Tables,1,335.65,251.87,335.65,251.87,83.78
ORD00232,9/11/2025,East,Furniture,Chairs,3,34.93,22.3,104.79,66.9,37.89
ORD00233,4/9/2023,East,Technology,Phones,6,242,141.29,1452,847.74,604.26
ORD00234,10/4/2025,North,Office Supplies,Storage,3,260.97,176.54,782.91,529.62,253.29
ORD00235,10/22/2023,South,Furniture,Chairs,3,340.82,193.74,1022.46,581.22,441.24
ORD00236,2/3/2024,North,Furniture,Tables,6,247.7,149.94,1486.2,899.64,586.56
ORD00237,8/12/2024,North,Technology,Laptops,6,305.93,242.08,1835.58,1452.48,383.1
ORD00238,2/7/2023,North,Furniture,Bookcases,9,450.58,347.18,4055.22,3124.62,930.6
ORD00239,10/1/2025,East,Furniture,Bookcases,7,452.32,303.54,3166.24,2124.78,1041.46
ORD00240,5/27/2022,North,Furniture,Bookcases,9,200.88,154.42,1807.92,1389.78,418.14
ORD00241,3/17/2025,West,Technology,Accessories,5,36.34,27.12,181.7,135.6,46.1
ORD00242,5/13/2024,North,Furniture,Tables,3,313.91,198.23,941.73,594.69,347.04
ORD00243,5/4/2023,North,Technology,Laptops,4,449.56,315.71,1798.24,1262.84,535.4
ORD00244,7/17/2024,East,Office Supplies,Paper,5,467.69,270.96,2338.45,1354.8,983.65
ORD00245,7/5/2023,East,Office Supplies,Binders,7,74.61,40.41,522.27,282.87,239.4
ORD00246,12/4/2022,West,Office Supplies,Paper,7,41.22,23.63,288.54,165.41,123.13
ORD00247,5/21/2024,West,Office Supplies,Storage,7,385.45,223.08,2698.15,1561.56,1136.59
ORD00248,10/3/2023,South,Office Supplies,Storage,3,353.23,271.2,1059.69,813.6,246.09
ORD00249,4/18/2023,East,Office Supplies,Binders,8,126.7,65.38,1013.6,523.04,490.56
ORD00250,5/31/2022,East,Furniture,Bookcases,4,184.31,116.5,737.24,466,271.24
ORD00251,12/9/2025,West,Technology,Phones,6,128.28,98.95,769.68,593.7,175.98
ORD00252,8/14/2025,West,Office Supplies,Paper,2,285.84,205.58,571.68,411.16,160.52
ORD00253,9/20/2022,East,Furniture,Bookcases,7,141.94,84.03,993.58,588.21,405.37
ORD00254,5/24/2022,North,Furniture,Bookcases,9,83.28,58.24,749.52,524.16,225.36
ORD00255,12/12/2022,East,Furniture,Tables,1,186.88,99.97,186.88,99.97,86.91
ORD00256,9/16/2023,North,Technology,Laptops,4,283.27,151.5,1133.08,606,527.08
ORD00257,10/13/2024,South,Technology,Accessories,4,161.89,126.84,647.56,507.36,140.2
ORD00258,5/30/2024,East,Technology,Laptops,5,405.18,292.14,2025.9,1460.7,565.2
ORD00259,1/2/2022,East,Technology,Phones,5,243.14,190.98,1215.7,954.9,260.8
ORD00260,6/15/2024,South,Office Supplies,Binders,8,422.38,303.85,3379.04,2430.8,948.24
ORD00261,8/20/2025,North,Technology,Accessories,4,238.38,144.66,953.52,578.64,374.88
ORD00262,9/11/2022,North,Furniture,Chairs,1,390.63,296.17,390.63,296.17,94.46
ORD00263,3/29/2023,East,Furniture,Tables,5,29.17,20.77,145.85,103.85,42
ORD00264,11/26/2024,North,Office Supplies,Paper,3,232.44,124.21,697.32,372.63,324.69
ORD00265,3/29/2025,West,Furniture,Bookcases,6,420.32,227.85,2521.92,1367.1,1154.82
ORD00266,10/11/2024,West,Furniture,Bookcases,4,370.29,203.44,1481.16,813.76,667.4
ORD00267,1/9/2022,West,Office Supplies,Binders,2,242.3,132.61,484.6,265.22,219.38
ORD00268,6/10/2025,South,Office Supplies,Storage,2,432.41,268.55,864.82,537.1,327.72
ORD00269,1/27/2025,North,Office Supplies,Binders,8,264.81,189.53,2118.48,1516.24,602.24
ORD00270,3/26/2024,North,Office Supplies,Paper,4,256.87,137.33,1027.48,549.32,478.16
ORD00271,7/27/2022,East,Office Supplies,Paper,9,105.11,79.76,945.99,717.84,228.15
ORD00272,2/28/2025,North,Office Supplies,Binders,1,108.93,85.98,108.93,85.98,22.95
ORD00273,2/8/2023,East,Technology,Laptops,3,333.75,168.76,1001.25,506.28,494.97
ORD00274,6/1/2022,South,Furniture,Bookcases,7,73.06,56.74,511.42,397.18,114.24
ORD00275,2/23/2022,North,Technology,Phones,8,303.09,221.48,2424.72,1771.84,652.88
ORD00276,2/17/2025,South,Furniture,Tables,2,28.38,15.83,56.76,31.66,25.1
ORD00277,9/20/2023,North,Furniture,Tables,3,137.17,98.58,411.51,295.74,115.77
ORD00278,8/10/2023,North,Furniture,Chairs,1,287.79,165.81,287.79,165.81,121.98
ORD00279,12/14/2025,East,Technology,Accessories,1,462.43,360.64,462.43,360.64,101.79
ORD00280,12/16/2025,East,Office Supplies,Storage,6,51.26,32.31,307.56,193.86,113.7
ORD00281,4/14/2022,West,Furniture,Tables,4,236.06,170.74,944.24,682.96,261.28
ORD00282,9/11/2022,East,Furniture,Bookcases,4,436.86,268.69,1747.44,1074.76,672.68
ORD00283,6/4/2025,North,Technology,Laptops,1,202.68,102.47,202.68,102.47,100.21
ORD00284,2/9/2025,South,Technology,Laptops,5,187.89,111.61,939.45,558.05,381.4
ORD00285,5/25/2023,West,Technology,Phones,9,412.42,328.69,3711.78,2958.21,753.57
ORD00286,4/9/2022,East,Office Supplies,Binders,2,25.26,13.92,50.52,27.84,22.68
ORD00287,6/2/2022,East,Technology,Accessories,6,324.38,174.52,1946.28,1047.12,899.16
ORD00288,7/2/2024,South,Technology,Phones,3,149.22,94.69,447.66,284.07,163.59
ORD00289,5/27/2024,South,Office Supplies,Storage,8,90.69,57.66,725.52,461.28,264.24
ORD00290,12/4/2022,West,Technology,Phones,2,420.71,217.09,841.42,434.18,407.24
ORD00291,4/1/2024,West,Office Supplies,Storage,5,322.16,208.31,1610.8,1041.55,569.25
ORD00292,4/1/2025,North,Technology,Phones,9,262.87,162.87,2365.83,1465.83,900
